Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
EMP0001,32,Non-binary,HR,Healthcare,13,Hybrid,43,7,2,Medium,Depression,No,Decrease,4,Satisfied,1,Weekly,Good,Europe
EMP0002,40,Female,Data Scientist,IT,3,Remote,48,4,1,Medium,Anxiety,No,Increase,2,Unsatisfied,2,Weekly,Good,Asia
EMP0003,59,Non-binary,Software Engineer,Education,22,Hybrid,43,11,5,Medium,Anxiety,No,No Change,4,Satisfied,5,None,Poor,North America
EMP0004,27,Male,Software Engineer,Finance,20,Onsite,59,8,4,High,Depression,Yes,Increase,3,Unsatisfied,3,None,Poor,Europe
EMP0005,49,Male,Sales,Consulting,32,Onsite,57,12,2,High,None,Yes,Decrease,3,Unsatisfied,3,Weekly,Average,North America
EMP0006,59,Non-binary,Sales,IT,31,Hybrid,50,3,4,High,None,No,Increase,2,Unsatisfied,1,None,Average,South America
EMP0007,31,Prefer not to say,Sales,IT,24,Remote,25,7,3,Low,Anxiety,Yes,Decrease,5,Neutral,3,Daily,Poor,Asia
EMP0008,42,Non-binary,Data Scientist,Manufacturing,6,Onsite,22,7,3,Medium,Depression,No,Decrease,5,Satisfied,4,None,Average,North America
EMP0009,56,Prefer not to say,Data Scientist,Healthcare,9,Hybrid,45,4,2,High,None,Yes,Decrease,1,Unsatisfied,4,Daily,Poor,Europe
EMP0010,30,Female,HR,IT,28,Hybrid,45,6,1,Low,Depression,Yes,Decrease,1,Unsatisfied,1,Weekly,Poor,North America
EMP0011,33,Non-binary,Software Engineer,Finance,17,Remote,23,3,3,High,None,Yes,Decrease,4,Neutral,2,Weekly,Average,Oceania
EMP0012,47,Female,Marketing,Consulting,31,Hybrid,50,12,4,Medium,None,Yes,No Change,1,Unsatisfied,3,Weekly,Poor,Africa
EMP0013,40,Female,Marketing,Consulting,1,Remote,45,7,2,High,Depression,Yes,Decrease,1,Unsatisfied,1,Weekly,Good,Europe
EMP0014,51,Non-binary,Designer,Manufacturing,5,Hybrid,51,13,1,Low,Anxiety,No,Decrease,5,Satisfied,5,Weekly,Poor,North America
EMP0015,36,Prefer not to say,Project Manager,Retail,23,Remote,29,11,3,High,Anxiety,Yes,Decrease,5,Satisfied,3,Weekly,Average,Oceania
EMP0016,56,Female,Sales,Healthcare,13,Remote,59,11,4,Low,Anxiety,No,No Change,1,Unsatisfied,4,Weekly,Average,Africa
EMP0017,33,Prefer not to say,HR,Education,3,Onsite,42,9,2,Medium,None,No,No Change,2,Unsatisfied,1,Weekly,Good,Africa
EMP0018,45,Non-binary,Data Scientist,Consulting,20,Onsite,43,8,3,Low,Burnout,Yes,Decrease,4,Satisfied,5,Weekly,Good,Europe
EMP0019,49,Non-binary,Software Engineer,IT,30,Remote,30,6,1,High,Anxiety,No,No Change,5,Unsatisfied,2,Weekly,Good,Oceania
EMP0020,59,Male,Software Engineer,Consulting,13,Remote,44,4,3,Medium,Anxiety,No,Decrease,5,Satisfied,1,Daily,Average,South America
EMP0021,26,Female,Sales,Retail,33,Hybrid,49,1,2,Low,Burnout,No,Increase,3,Unsatisfied,1,Weekly,Poor,South America
EMP0022,26,Non-binary,Sales,Education,21,Onsite,50,12,3,Medium,Depression,No,Decrease,1,Unsatisfied,4,Daily,Poor,North America
EMP0023,43,Prefer not to say,Sales,Finance,21,Onsite,43,1,3,Low,Depression,Yes,Increase,3,Unsatisfied,4,Daily,Average,Africa
EMP0024,53,Non-binary,Marketing,Consulting,11,Onsite,23,12,5,Low,Depression,No,No Change,5,Satisfied,3,Weekly,Poor,Asia
EMP0025,56,Male,Sales,Finance,6,Remote,42,15,3,Low,Burnout,No,Increase,2,Unsatisfied,4,Daily,Average,North America
EMP0026,49,Male,Project Manager,Healthcare,23,Onsite,23,14,4,High,Burnout,No,No Change,4,Neutral,3,None,Good,South America
EMP0027,36,Non-binary,Project Manager,Retail,30,Onsite,26,12,3,High,None,No,Decrease,5,Neutral,4,None,Poor,North America
EMP0028,53,Female,Project Manager,Retail,31,Onsite,42,4,4,Low,Depression,No,No Change,3,Unsatisfied,4,None,Poor,Oceania
EMP0029,47,Prefer not to say,Sales,IT,22,Onsite,42,10,3,High,Depression,Yes,Decrease,2,Unsatisfied,1,Daily,Poor,Europe
EMP0030,59,Male,Software Engineer,Healthcare,34,Remote,42,15,2,High,Depression,Yes,No Change,2,Unsatisfied,1,Weekly,Poor,North America
EMP0031,22,Female,Data Scientist,IT,22,Onsite,41,11,1,Low,Anxiety,Yes,No Change,4,Satisfied,2,Weekly,Average,Asia
EMP0032,37,Prefer not to say,Marketing,Manufacturing,4,Hybrid,24,14,2,Medium,Depression,No,Decrease,5,Satisfied,5,None,Average,North America
EMP0033,45,Prefer not to say,Project Manager,Manufacturing,29,Remote,30,14,2,Medium,Anxiety,Yes,Decrease,5,Satisfied,5,Daily,Good,North America
EMP0034,48,Male,Software Engineer,Healthcare,27,Remote,42,9,3,Medium,Anxiety,Yes,No Change,1,Unsatisfied,4,Daily,Average,North America
EMP0035,36,Male,Designer,IT,24,Hybrid,24,6,4,Medium,Depression,No,No Change,5,Unsatisfied,3,Weekly,Average,Europe
EMP0036,46,Prefer not to say,Sales,Healthcare,28,Hybrid,25,8,4,Low,None,Yes,No Change,4,Satisfied,5,None,Poor,Europe
EMP0037,48,Male,Sales,Finance,10,Onsite,26,12,1,Low,Depression,Yes,Decrease,5,Neutral,3,None,Poor,Asia
EMP0038,31,Female,Designer,Healthcare,18,Remote,42,14,2,Low,None,Yes,Increase,1,Unsatisfied,5,Daily,Good,Asia
EMP0039,24,Non-binary,Sales,IT,21,Onsite,45,12,4,Low,Anxiety,Yes,No Change,5,Satisfied,1,Weekly,Average,Africa
EMP0040,49,Male,Marketing,Consulting,20,Hybrid,44,1,3,High,None,No,Increase,5,Satisfied,5,Weekly,Poor,Asia
EMP0041,30,Non-binary,Data Scientist,IT,22,Remote,47,15,4,High,Burnout,No,Decrease,2,Unsatisfied,5,Daily,Poor,Europe
EMP0042,53,Male,Project Manager,IT,14,Onsite,44,13,2,Low,None,No,No Change,2,Unsatisfied,5,None,Good,North America
EMP0043,54,Prefer not to say,Project Manager,Finance,26,Remote,45,6,3,High,None,Yes,Increase,4,Satisfied,3,Weekly,Poor,Europe
EMP0044,54,Female,Designer,Manufacturing,12,Remote,44,12,4,Medium,Depression,Yes,No Change,1,Unsatisfied,3,None,Average,Europe
EMP0045,57,Prefer not to say,HR,Retail,13,Remote,42,6,3,High,Anxiety,Yes,No Change,2,Unsatisfied,2,Daily,Good,South America
EMP0046,32,Male,Marketing,Retail,24,Remote,47,8,2,Medium,Burnout,No,No Change,2,Unsatisfied,3,Daily,Poor,North America
EMP0047,33,Male,Data Scientist,Education,33,Remote,21,15,1,Medium,Burnout,Yes,Decrease,4,Satisfied,5,Weekly,Good,South America
EMP0048,30,Female,Sales,Consulting,4,Remote,21,2,5,High,None,No,Decrease,4,Neutral,4,None,Good,Oceania
EMP0049,22,Female,HR,Healthcare,7,Onsite,26,9,4,Low,None,No,Increase,4,Satisfied,3,Daily,Poor,Africa
EMP0050,35,Male,Project Manager,Retail,11,Onsite,20,3,4,Medium,Burnout,No,No Change,4,Satisfied,3,None,Average,Europe
EMP0051,26,Non-binary,HR,Manufacturing,34,Onsite,29,10,4,High,Anxiety,Yes,Decrease,4,Neutral,4,Daily,Good,Europe
EMP0052,47,Male,Sales,Consulting,25,Remote,45,9,5,Low,None,No,Decrease,1,Unsatisfied,1,None,Good,South America
EMP0053,42,Female,Software Engineer,Retail,3,Onsite,49,14,3,Medium,None,No,Decrease,1,Unsatisfied,2,Daily,Good,South America
EMP0054,60,Prefer not to say,Project Manager,Healthcare,34,Onsite,50,15,2,Medium,Depression,Yes,No Change,1,Unsatisfied,1,None,Average,Asia
EMP0055,26,Female,Software Engineer,Education,5,Hybrid,50,6,1,Medium,Burnout,Yes,Decrease,5,Satisfied,1,Daily,Poor,Asia
EMP0056,30,Non-binary,Project Manager,Education,8,Hybrid,55,12,3,Low,Anxiety,No,Increase,2,Unsatisfied,5,Daily,Good,Africa
EMP0057,42,Male,Software Engineer,IT,14,Remote,60,13,5,Low,Depression,Yes,Increase,4,Satisfied,5,None,Good,Asia
EMP0058,53,Prefer not to say,HR,IT,7,Onsite,51,6,5,Low,None,No,No Change,5,Satisfied,3,None,Average,South America
EMP0059,26,Prefer not to say,Designer,Manufacturing,31,Remote,43,4,1,Low,None,No,Decrease,5,Satisfied,3,Daily,Average,Oceania
EMP0060,26,Prefer not to say,Data Scientist,IT,17,Remote,55,13,2,Medium,None,Yes,No Change,1,Unsatisfied,5,Daily,Poor,Oceania
EMP0061,25,Non-binary,Sales,Consulting,4,Hybrid,22,14,4,Medium,Depression,Yes,No Change,5,Unsatisfied,2,Daily,Good,Europe
EMP0062,33,Female,Sales,IT,14,Remote,42,15,2,Medium,Depression,Yes,Increase,4,Satisfied,5,Daily,Good,North America
EMP0063,25,Non-binary,Project Manager,Finance,20,Hybrid,45,4,3,Medium,Depression,No,No Change,5,Satisfied,2,None,Poor,Asia
EMP0064,22,Female,Software Engineer,Healthcare,5,Onsite,45,15,3,Medium,Depression,Yes,No Change,2,Unsatisfied,5,None,Good,South America
EMP0065,60,Prefer not to say,Data Scientist,Healthcare,18,Hybrid,25,0,4,Medium,Burnout,No,No Change,5,Satisfied,2,None,Good,Oceania
EMP0066,56,Male,HR,Finance,9,Remote,43,3,4,Medium,Anxiety,Yes,Increase,2,Unsatisfied,4,Weekly,Poor,Europe
EMP0067,45,Non-binary,Software Engineer,IT,6,Hybrid,41,3,1,Medium,Burnout,No,Increase,5,Satisfied,2,Daily,Good,Oceania
EMP0068,60,Female,Marketing,Education,32,Remote,42,6,2,High,None,Yes,Decrease,2,Unsatisfied,4,Weekly,Poor,Oceania
