Entity,Code,Year,Number of high-income countries,Number of upper-middle-income countries,Number of lower-middle-income countries,Number of low-income countries
Africa,,1987,0,4,12,32
Africa,,1988,0,5,13,32
Africa,,1989,0,4,15,32
Africa,,1990,1,4,15,33
Africa,,1991,0,6,13,34
Africa,,1992,0,7,12,35
Africa,,1993,0,6,12,36
Africa,,1994,0,6,9,39
Africa,,1995,0,6,10,38
Africa,,1996,0,6,9,39
Africa,,1997,0,7,9,38
Africa,,1998,0,6,10,38
Africa,,1999,0,7,9,38
Africa,,2000,0,7,9,38
Africa,,2001,0,6,9,39
Africa,,2002,0,6,9,39
Africa,,2003,0,6,9,39
Africa,,2004,0,8,9,37
Africa,,2005,0,8,12,34
Africa,,2006,0,8,12,34
Africa,,2007,1,7,13,33
Africa,,2008,1,9,14,30
Africa,,2009,1,9,15,29
Africa,,2010,1,10,17,26
Africa,,2011,1,10,16,27
Africa,,2012,1,10,16,27
Africa,,2013,1,10,17,26
Africa,,2014,2,9,17,26
Africa,,2015,1,9,17,27
Africa,,2016,1,8,18,27
Africa,,2017,1,8,18,27
Africa,,2018,1,8,21,24
Africa,,2019,2,6,23,23
Africa,,2020,1,7,23,23
Africa,,2021,1,7,22,24
Africa,,2022,1,7,24,22
Africa,,2023,1,8,23,22
Asia,,1987,11,5,8,14
Asia,,1988,10,5,8,14
Asia,,1989,10,5,9,14
Asia,,1990,9,6,11,14
Asia,,1991,9,5,19,15
Asia,,1992,9,6,17,16
Asia,,1993,9,6,16,17
Asia,,1994,10,5,15,19
Asia,,1995,11,4,15,19
Asia,,1996,11,4,16,18
Asia,,1997,11,6,15,17
Asia,,1998,10,7,12,20
Asia,,1999,10,6,12,21
Asia,,2000,10,7,12,20
Asia,,2001,12,4,13,21
Asia,,2002,12,4,14,20
Asia,,2003,12,4,17,17
Asia,,2004,13,4,16,17
Asia,,2005,13,4,16,17
Asia,,2006,13,5,16,16
Asia,,2007,14,4,19,13
Asia,,2008,14,4,20,12
Asia,,2009,14,6,21,9
Asia,,2010,14,10,18,8
Asia,,2011,14,11,17,8
Asia,,2012,14,12,16,8
Asia,,2013,14,12,17,7
Asia,,2014,14,13,19,4
Asia,,2015,14,13,20,3
Asia,,2016,14,11,22,3
