Country,Code,Year,Life Expectancy,Health Expenditure Per Capita,Population (historical),Continent,Happiness
Albania,ALB,2004,75.951,324.86182,3098663.0,,59
Albania,ALB,2010,78.414,600.65753,2928730.0,,67
Albania,ALB,2014,78.029,726.53973,2903748.0,,59
Albania,ALB,2015,78.358,755.452,2898634.0,Europe,62
Albania,ALB,2016,78.643,803.7964,2897868.0,,59
Argentina,ARG,2004,74.871,878.92694,38815915.0,,81
Argentina,ARG,2010,75.68,1693.0966,41288694.0,,88
Argentina,ARG,2014,76.268,1896.806,43024072.0,,86
Armenia,ARM,2010,72.938,677.00745,2931083.0,,76
Armenia,ARM,2014,73.98,1029.5269,2922433.0,,82
Australia,AUS,2010,82.013,3608.0579,22141583.0,,92
Australia,AUS,2014,82.518,4689.065,23595599.0,,93
Austria,AUT,2000,78.235,2706.854,8012929.0,,81
Austria,AUT,2001,78.718,2760.6074,8042232.0,,86
Austria,AUT,2002,78.846,2935.8186,8081638.0,,83
Austria,AUT,2003,78.849,3076.9006,8122605.0,,82
Austria,AUT,2004,79.362,3291.0728,8173494.0,,90
Austria,AUT,2005,79.52,3381.66,8229204.0,,85
Austria,AUT,2006,79.965,3595.8706,8269902.0,,84
Austria,AUT,2007,80.166,3764.2373,8296949.0,,86
Austria,AUT,2008,80.363,4024.8025,8323250.0,,80
Austria,AUT,2009,80.206,4188.393,8345072.0,,83
Austria,AUT,2010,80.463,4299.8394,8365087.0,,88
Austria,AUT,2011,80.828,4465.659,8393272.0,,84
Austria,AUT,2012,80.841,4750.5815,8431598.0,,85
Austria,AUT,2013,81.078,4945.4497,8481411.0,,83
Austria,AUT,2014,81.39,5082.537,8547812.0,,90
Austria,AUT,2015,81.159,5204.622,8644037.0,Europe,86
Austria,AUT,2016,81.592,5476.6777,8737920.0,,85
Azerbaijan,AZE,2014,71.93,576.5972,9631136.0,,81
Bangladesh,BGD,2004,64.912,38.290234,142902855.0,,77
Belarus,BLR,2004,68.688,490.01913,9735090.0,,62
Belarus,BLR,2010,70.501,846.828,9490752.0,,76
Belarus,BLR,2014,73.245,998.23047,9472704.0,,64
Belgium,BEL,2000,77.768,2225.1775,10251719.0,,83
Belgium,BEL,2001,78.082,2351.4885,10287004.0,,85
Belgium,BEL,2002,78.168,2524.5786,10332978.0,,82
Belgium,BEL,2003,78.32,2840.3752,10376260.0,,83
Belgium,BEL,2004,78.96,2997.9824,10421298.0,,92
Belgium,BEL,2005,79.053,3069.8442,10478883.0,,89
Belgium,BEL,2006,79.389,3230.2346,10548446.0,,91
Belgium,BEL,2007,79.528,3374.4229,10625490.0,,89
Belgium,BEL,2008,79.579,3649.648,10709710.0,,87
Belgium,BEL,2009,79.849,3911.9243,10812936.0,,90
Belgium,BEL,2010,80.04,4085.4814,10936620.0,,94
Belgium,BEL,2011,80.366,4257.526,11038627.0,,89
Belgium,BEL,2012,80.26,4444.3623,11107524.0,,89
Belgium,BEL,2013,80.467,4615.71,11160277.0,,92
Belgium,BEL,2014,81.08,4763.424,11210111.0,,91
Belgium,BEL,2015,80.889,4993.985,11275332.0,Europe,89
Belgium,BEL,2016,81.265,5239.753,11332704.0,,92
Bosnia and Herzegovina,BIH,2004,76.489,489.8868,4140990.0,,82
Bosnia and Herzegovina,BIH,2010,76.827,819.1329,3811480.0,,86
Brazil,BRA,2010,73.779,1132.4211,193701931.0,,90
Brazil,BRA,2014,74.823,1315.2859,200085126.0,,92
Bulgaria,BGR,2004,72.575,631.7515,7749431.0,,45
Bulgaria,BGR,2005,72.559,706.36127,7695047.0,,29
Bulgaria,BGR,2006,72.69,741.66394,7640290.0,,30
Bulgaria,BGR,2007,73.008,786.3771,7586895.0,,37
Bulgaria,BGR,2008,73.338,898.3373,7535590.0,,39
Bulgaria,BGR,2009,73.681,932.5173,7488018.0,,40
Bulgaria,BGR,2010,73.814,1057.5287,7437594.0,,58
Bulgaria,BGR,2011,74.169,1115.2604,7380021.0,,38
Bulgaria,BGR,2012,74.337,1227.3337,7317021.0,,40
Bulgaria,BGR,2013,74.828,1185.8698,7264606.0,,34
Bulgaria,BGR,2014,74.466,1349.4158,7223451.0,,45
Bulgaria,BGR,2015,74.621,1354.8326,7177516.0,Europe,46
Bulgaria,BGR,2016,74.827,1491.421,7127436.0,,48
Canada,CAN,2004,80.029,3078.5938,32132680.0,,96
Canada,CAN,2010,81.336,4296.528,34196901.0,,95
Chile,CHL,2004,78.276,814.8903,16187322.0,,80
Chile,CHL,2010,79.095,1234.6669,17181462.0,,79
Chile,CHL,2014,79.714,1786.2493,17864191.0,,84
China,CHN,2004,73.727,189.3465,1302100319.0,,78
China,CHN,2010,75.668,385.04608,1351561511.0,,77
China,CHN,2014,76.714,593.2997,1387951973.0,,84
Colombia,COL,2010,74.876,758.1232,44777325.0,,87
Colombia,COL,2014,75.95,952.5601,46565426.0,,92
Croatia,HRV,2004,75.266,955.4528,4310054.0,,78
Croatia,HRV,2005,75.57,1056.7675,4313946.0,,68
Croatia,HRV,2006,75.677,1217.0771,4315802.0,,70
Croatia,HRV,2007,75.886,1444.7295,4315957.0,,71
Croatia,HRV,2008,76.001,1604.3256,4314634.0,,69
Croatia,HRV,2009,76.313,1633.0024,4310537.0,,64
Croatia,HRV,2010,76.676,1598.7563,4301152.0,,82
Croatia,HRV,2011,76.993,1612.7178,4280827.0,,67
Croatia,HRV,2012,77.284,1644.4829,4259234.0,,67
Croatia,HRV,2013,77.51,1420.0992,4242404.0,,69
Croatia,HRV,2014,77.514,1475.1665,4219485.0,,67
Croatia,HRV,2015,77.633,1553.3203,4183732.0,Europe,72
Croatia,HRV,2016,77.629,1692.2402,4136438.0,,71
Cyprus,CYP,2004,79.007,1412.3352,1017877.0,,89
Cyprus,CYP,2005,79.198,1520.4187,1036156.0,,85
Cyprus,CYP,2006,79.456,1655.2361,1054425.0,,86
Cyprus,CYP,2007,79.798,1783.0184,1072726.0,,86
Cyprus,CYP,2008,79.906,2122.5796,1091028.0,,87
Cyprus,CYP,2009,80.375,2221.2932,1109377.0,,85
Cyprus,CYP,2010,80.632,2205.8447,1127825.0,,86
Cyprus,CYP,2011,80.855,2176.96,1146492.0,,79
Cyprus,CYP,2012,81.128,2091.356,1165402.0,,76
Cyprus,CYP,2013,81.317,2100.0132,1183899.0,,68
Cyprus,CYP,2014,81.337,2077.8735,1201807.0,,82
Cyprus,CYP,2015,81.464,2170.4336,1219504.0,Europe,80
Cyprus,CYP,2016,81.534,2395.9602,1237116.0,,81
Czechia,CZE,2004,75.942,1329.5643,10261454.0,,86
Czechia,CZE,2005,76.156,1402.7372,10280158.0,,82
Czechia,CZE,2006,76.708,1476.8206,10304594.0,,82
Czechia,CZE,2007,76.919,1580.048,10337541.0,,82
Czechia,CZE,2008,77.172,1777.9052,10378296.0,,83
Czechia,CZE,2009,77.258,2015.8818,10420986.0,,82
Czechia,CZE,2010,77.568,1919.228,10464035.0,,83
Czechia,CZE,2011,77.814,2010.9573,10495508.0,,79
Czechia,CZE,2012,77.998,2042.6046,10507338.0,,76
Czechia,CZE,2013,78.169,2379.5076,10511164.0,,81
Czechia,CZE,2014,78.744,2472.1755,10517222.0,,82
Czechia,CZE,2015,78.561,2441.3352,10524419.0,Europe,83
Czechia,CZE,2016,78.974,2568.3372,10531947.0,,86
Denmark,DNK,2000,76.815,2326.7458,5339660.0,,95
Denmark,DNK,2001,76.974,2491.4097,5358825.0,,97
Denmark,DNK,2002,77.099,2670.2432,5375966.0,,96
Denmark,DNK,2003,77.401,2747.7354,5390622.0,,96
Denmark,DNK,2004,77.785,2970.7136,5404594.0,,94
Denmark,DNK,2005,78.226,3109.049,5419551.0,,97
Denmark,DNK,2006,78.223,3429.303,5437421.0,,97
Denmark,DNK,2007,78.349,3646.9736,5461604.0,,98
Denmark,DNK,2008,78.714,3938.9077,5493766.0,,96
Denmark,DNK,2009,78.957,4314.1987,5523168.0,,98
Denmark,DNK,2010,79.247,4572.324,5547866.0,,96
Denmark,DNK,2011,79.786,4629.337,5570846.0,,97
Denmark,DNK,2012,80.082,4723.6006,5591912.0,,97
Denmark,DNK,2013,80.306,4837.0903,5615334.0,,97
Denmark,DNK,2014,80.632,4952.499,5643793.0,,97
Denmark,DNK,2015,80.739,5094.6133,5683698.0,Europe,98
Denmark,DNK,2016,80.881,5347.7637,5728198.0,,97
Egypt,EGY,2004,68.211,324.88394,79477439.0,,89
Egypt,EGY,2010,69.078,394.44125,89196070.0,,83
Egypt,EGY,2014,69.911,517.942,97528656.0,,26
Estonia,EST,2004,72.375,742.0884,1362682.0,,64
Estonia,EST,2005,73.028,838.3687,1354847.0,,69
Estonia,EST,2006,73.2,918.6384,1346884.0,,74
Estonia,EST,2007,73.153,1104.036,1340709.0,,78
Estonia,EST,2008,74.279,1302.3572,1337078.0,,75
Estonia,EST,2009,75.152,1339.8716,1334528.0,,73
Estonia,EST,2010,75.882,1365.1665,1331450.0,,79
Estonia,EST,2011,76.346,1426.6729,1327366.0,,70
Estonia,EST,2012,76.416,1513.6383,1322616.0,,70
Estonia,EST,2013,77.252,1649.7255,1317921.0,,72
Estonia,EST,2014,77.11,1839.7274,1314456.0,,77
Estonia,EST,2015,77.665,1938.4668,1314581.0,Europe,79
Estonia,EST,2016,77.763,2098.4634,1315850.0,,80
Finland,FIN,2000,77.671,1899.7139,5176198.0,,88
Finland,FIN,2001,78.142,2015.44,5187973.0,,88
Finland,FIN,2002,78.27,2181.9126,5200549.0,,90
Finland,FIN,2003,78.533,2306.133,5212955.0,,91
Finland,FIN,2004,78.846,2514.603,5228144.0,,90
Finland,FIN,2005,78.971,2656.4514,5246083.0,,94
Finland,FIN,2006,79.373,2854.3108,5266247.0,,94
Finland,FIN,2007,79.391,3058.7158,5288716.0,,95
Finland,FIN,2008,79.695,3344.256,5313381.0,,94
Finland,FIN,2009,79.831,3478.7607,5338855.0,,96
Finland,FIN,2010,80.012,3561.465,5363347.0,,89
Finland,FIN,2011,80.392,3773.8467,5388236.0,,95
Finland,FIN,2012,80.508,3918.0928,5413978.0,,94
Finland,FIN,2013,80.869,4068.6216,5439058.0,,94
Finland,FIN,2014,81.055,4084.409,5461686.0,,94
Finland,FIN,2015,81.377,4099.0576,5479718.0,Europe,95
Finland,FIN,2016,81.303,4213.999,5495469.0,,95
France,FRA,2000,79.044,2515.8289,59483716.0,,80
France,FRA,2001,79.221,2684.6262,59905130.0,,79
France,FRA,2002,79.411,2876.46,60327247.0,,79
France,FRA,2003,79.419,2858.0908,60741121.0,,75
France,FRA,2004,80.336,2973.3572,61175243.0,,91
France,FRA,2005,80.337,3135.556,61625030.0,,82
France,FRA,2006,80.745,3392.9656,62049831.0,,85
France,FRA,2007,80.96,3540.3633,62432438.0,,83
France,FRA,2008,81.039,3706.4758,62780187.0,,79
France,FRA,2009,81.163,3936.012,63106461.0,,84
France,FRA,2010,81.405,4053.2957,63417366.0,,91
France,FRA,2011,81.781,4211.189,63733777.0,,80
France,FRA,2012,81.739,4281.7256,64058465.0,,85
France,FRA,2013,81.979,4534.9355,64387736.0,,83
France,FRA,2014,82.437,4640.495,64692495.0,,84
France,FRA,2015,82.149,4679.8926,64916336.0,Europe,86
