Country,Year,Code,Happiness
Albania,1998,ALB,33
Albania,2004,ALB,59
Albania,2010,ALB,67
Albania,2014,ALB,59
Albania,2015,ALB,62
Albania,2016,ALB,59
Albania,2022,ALB,74
Algeria,2004,DZA,81
Algeria,2014,DZA,76
Andorra,2010,AND,93
Andorra,2022,AND,95
Argentina,1984,ARG,77
Argentina,1993,ARG,76
Argentina,1998,ARG,82
Argentina,2004,ARG,81
Argentina,2010,ARG,88
Argentina,2014,ARG,86
Argentina,2022,ARG,86
Armenia,1998,ARM,55
Armenia,2010,ARM,76
Armenia,2014,ARM,82
Armenia,2022,ARM,85
Australia,1984,AUS,95
Australia,1998,AUS,94
Australia,2010,AUS,92
Australia,2014,AUS,93
Australia,2022,AUS,90
Austria,1993,AUT,86
Austria,1996,AUT,93
Austria,1997,AUT,84
Austria,1998,AUT,83
Austria,1999,AUT,84
Austria,2000,AUT,81
Austria,2001,AUT,86
Austria,2002,AUT,83
Austria,2003,AUT,82
Austria,2004,AUT,90
Austria,2005,AUT,85
Austria,2006,AUT,84
Austria,2007,AUT,86
Austria,2008,AUT,80
Austria,2009,AUT,83
Austria,2010,AUT,88
Austria,2011,AUT,84
Austria,2012,AUT,85
Austria,2013,AUT,83
Austria,2014,AUT,90
Austria,2015,AUT,86
Austria,2016,AUT,85
Austria,2022,AUT,89
Azerbaijan,1998,AZE,77
Azerbaijan,2014,AZE,81
Azerbaijan,2022,AZE,80
Bangladesh,1998,BGD,85
Bangladesh,2004,BGD,77
Bangladesh,2022,BGD,91
Belarus,1993,BLR,44
Belarus,1998,BLR,45
Belarus,2004,BLR,62
Belarus,2010,BLR,76
Belarus,2014,BLR,64
Belarus,2022,BLR,89
Belgium,1973,BEL,92
Belgium,1975,BEL,89
Belgium,1976,BEL,90
Belgium,1977,BEL,90
Belgium,1978,BEL,89
Belgium,1979,BEL,90
Belgium,1980,BEL,89
Belgium,1981,BEL,84
Belgium,1982,BEL,82
Belgium,1983,BEL,82
Belgium,1984,BEL,88
Belgium,1985,BEL,82
Belgium,1986,BEL,78
Belgium,1987,BEL,83
Belgium,1988,BEL,79
Belgium,1989,BEL,86
Belgium,1990,BEL,88
Belgium,1991,BEL,89
Belgium,1992,BEL,89
Belgium,1993,BEL,90
Belgium,1994,BEL,86
Belgium,1996,BEL,86
Belgium,1997,BEL,78
Belgium,1998,BEL,79
Belgium,1999,BEL,83
Belgium,2000,BEL,83
Belgium,2001,BEL,85
Belgium,2002,BEL,82
Belgium,2003,BEL,83
Belgium,2004,BEL,92
Belgium,2005,BEL,89
Belgium,2006,BEL,91
Belgium,2007,BEL,89
Belgium,2008,BEL,87
Belgium,2009,BEL,90
Belgium,2010,BEL,94
Belgium,2011,BEL,89
Belgium,2012,BEL,89
Belgium,2013,BEL,92
Belgium,2014,BEL,91
Belgium,2015,BEL,89
Belgium,2016,BEL,92
Bolivia,2022,BOL,73
Bosnia and Herzegovina,1998,BIH,75
Bosnia and Herzegovina,2004,BIH,82
Bosnia and Herzegovina,2010,BIH,86
Bosnia and Herzegovina,2022,BIH,87
Brazil,1993,BRA,75
Brazil,1998,BRA,83
Brazil,2010,BRA,90
Brazil,2014,BRA,92
Brazil,2022,BRA,89
Bulgaria,1993,BGR,35
Bulgaria,1998,BGR,56
Bulgaria,2004,BGR,45
Bulgaria,2005,BGR,29
Bulgaria,2006,BGR,30
Bulgaria,2007,BGR,37
Bulgaria,2008,BGR,39
Bulgaria,2009,BGR,40
Bulgaria,2010,BGR,58
Bulgaria,2011,BGR,38
Bulgaria,2012,BGR,40
Bulgaria,2013,BGR,34
Bulgaria,2014,BGR,45
Bulgaria,2015,BGR,46
Bulgaria,2016,BGR,48
Bulgaria,2022,BGR,60
Burkina Faso,2010,BFA,80
Canada,1984,CAN,96
Canada,1993,CAN,78
Canada,2004,CAN,96
Canada,2010,CAN,95
Canada,2022,CAN,85
Chile,1993,CHL,72
Chile,1998,CHL,80
Chile,2004,CHL,80
Chile,2010,CHL,79
Chile,2014,CHL,84
Chile,2022,CHL,83
China,1993,CHN,67
China,1998,CHN,84
China,2004,CHN,78
China,2010,CHN,77
China,2014,CHN,84
China,2022,CHN,89
Colombia,1998,COL,84
Colombia,2010,COL,87
Colombia,2014,COL,92
Colombia,2022,COL,89
Croatia,1998,HRV,69
Croatia,2004,HRV,78
Croatia,2005,HRV,68
Croatia,2006,HRV,70
Croatia,2007,HRV,71
Croatia,2008,HRV,69
Croatia,2009,HRV,64
Croatia,2010,HRV,82
Croatia,2011,HRV,67
Croatia,2012,HRV,67
Croatia,2013,HRV,69
Croatia,2014,HRV,67
Croatia,2015,HRV,72
Croatia,2016,HRV,71
Croatia,2022,HRV,82
Cyprus,2004,CYP,89
Cyprus,2005,CYP,85
Cyprus,2006,CYP,86
Cyprus,2007,CYP,86
Cyprus,2008,CYP,87
Cyprus,2009,CYP,85
Cyprus,2010,CYP,86
Cyprus,2011,CYP,79
Cyprus,2012,CYP,76
Cyprus,2013,CYP,68
Cyprus,2014,CYP,82
Cyprus,2015,CYP,80
Cyprus,2016,CYP,81
Cyprus,2022,CYP,82
Czechia,1993,CZE,76
Czechia,1998,CZE,83
Czechia,2004,CZE,86
Czechia,2005,CZE,82
Czechia,2006,CZE,82
Czechia,2007,CZE,82
Czechia,2008,CZE,83
Czechia,2009,CZE,82
Czechia,2010,CZE,83
Czechia,2011,CZE,79
Czechia,2012,CZE,76
Czechia,2013,CZE,81
Czechia,2014,CZE,82
Czechia,2015,CZE,83
Czechia,2016,CZE,86
Czechia,2022,CZE,86
Denmark,1973,DNK,95
Denmark,1975,DNK,90
Denmark,1976,DNK,93
Denmark,1977,DNK,95
Denmark,1978,DNK,95
Denmark,1979,DNK,94
Denmark,1980,DNK,96
Denmark,1981,DNK,94
Denmark,1982,DNK,95
Denmark,1983,DNK,95
Denmark,1984,DNK,93
Denmark,1985,DNK,96
Denmark,1986,DNK,95
Denmark,1987,DNK,95
Denmark,1988,DNK,90
Denmark,1989,DNK,95
Denmark,1990,DNK,96
Denmark,1991,DNK,97
Denmark,1992,DNK,96
Denmark,1993,DNK,94
Denmark,1994,DNK,97
Denmark,1996,DNK,97
Denmark,1997,DNK,97
Denmark,1998,DNK,97
Denmark,1999,DNK,96
Denmark,2000,DNK,95
Denmark,2001,DNK,97
Denmark,2002,DNK,96
Denmark,2003,DNK,96
Denmark,2004,DNK,94
Denmark,2005,DNK,97
Denmark,2006,DNK,97
Denmark,2007,DNK,98
Denmark,2008,DNK,96
Denmark,2009,DNK,98
Denmark,2010,DNK,96
Denmark,2011,DNK,97
Denmark,2012,DNK,97
Denmark,2013,DNK,97
Denmark,2014,DNK,97
Denmark,2015,DNK,98
Denmark,2016,DNK,97
Denmark,2022,DNK,90
Dominican Republic,1998,DOM,72
Ecuador,2014,ECU,93
Ecuador,2022,ECU,88
Egypt,2004,EGY,89
Egypt,2010,EGY,83
Egypt,2014,EGY,26
Egypt,2022,EGY,72
El Salvador,1998,SLV,92
Estonia,1993,EST,57
Estonia,1998,EST,64
Estonia,2004,EST,64
Estonia,2005,EST,69
Estonia,2006,EST,74
Estonia,2007,EST,78
Estonia,2008,EST,75
Estonia,2009,EST,73
Estonia,2010,EST,79
Estonia,2011,EST,70
Estonia,2012,EST,70
Estonia,2013,EST,72
Estonia,2014,EST,77
Estonia,2015,EST,79
Estonia,2016,EST,80
Estonia,2022,EST,84
Ethiopia,2010,ETH,63
Ethiopia,2022,ETH,87
European Union,1973,,79
European Union,1975,,75
European Union,1976,,75
European Union,1977,,77
European Union,1978,,78
European Union,1979,,78
European Union,1980,,79
European Union,1981,,76
European Union,1982,,79
European Union,1983,,77
European Union,1984,,78
European Union,1985,,77
European Union,1986,,78
European Union,1987,,77
European Union,1988,,75
European Union,1989,,82
European Union,1990,,82
European Union,1991,,82
European Union,1992,,80
European Union,1993,,79
European Union,1994,,80
European Union,1996,,83
European Union,1997,,77
European Union,1998,,77
European Union,1999,,82
European Union,2000,,80
European Union,2001,,83
European Union,2002,,81
European Union,2003,,79
European Union,2004,,81
European Union,2005,,80
European Union,2006,,82
European Union,2007,,81
European Union,2008,,77
European Union,2009,,77
European Union,2010,,78
European Union,2011,,77
European Union,2012,,76
European Union,2013,,75
European Union,2014,,80
European Union,2015,,81
European Union,2016,,81
Finland,1984,FIN,93
Finland,1993,FIN,87
Finland,1996,FIN,94
Finland,1997,FIN,90
Finland,1998,FIN,91
Finland,1999,FIN,90
Finland,2000,FIN,88
Finland,2001,FIN,88
Finland,2002,FIN,90
Finland,2003,FIN,91
Finland,2004,FIN,90
Finland,2005,FIN,94
Finland,2006,FIN,94
Finland,2007,FIN,95
Finland,2008,FIN,94
Finland,2009,FIN,96
Finland,2010,FIN,89
Finland,2011,FIN,95
Finland,2012,FIN,94
Finland,2013,FIN,94
Finland,2014,FIN,94
Finland,2015,FIN,95
Finland,2016,FIN,95
Finland,2022,FIN,89
France,1973,FRA,77
France,1975,FRA,74
France,1976,FRA,71
